id,Gender,Meaning,Name,Origin
0,Girl,Idealistic,A'adarshini,Hindi
1,Girl,Hope and need,A'dab,Arabic
2,Girl,"Visiting, returning, reward","A'idah, aida",Arabic
3,Girl,Mirror,A'inah,Arabic
4,Girl,"Living, prosperous, youngest wife of the prophet pbuh","A'ishah, aisha, ayishah",Arabic
5,Girl,Gracious under adversity,A'marie,American
6,Boy,Light,Aabha,Hindi
7,Girl,Glow,Aabha,Bengali
8,Boy,Jewel,Aabharan,Hindi
9,Girl,Jewel,Aabharana,Bengali
10,Boy,Acow herd,Aabher,Hindi
11,Girl,In the beginning,Aad,Sikh
12,Girl,Hope and need,Aadab,Bengali
13,Girl,Hope and need,Aadab,Arabic
14,Boy,"Onewho has principles, principled person",Aadarsh,Hindi
15,Girl,Ideal,Aadarsha,Hindi
16,Girl,Idealistic,Aadarshini,Bengali
17,Girl,Idealistic,Aadarshini,Hindi
18,Boy,Message,Aadesh,Hindi
19,Girl,Half,Aadh,Sikh
20,Girl,Honesty,Aadhila,Bengali
21,Boy,Moon,Aadhira,Hindi
22,Boy,"Sri shandarachary, founder of adwaitha philosophy",Aadhishankar,Bengali
23,Boy,"Sri shandarachary, founder of adwaitha philosophy",Aadhishankar,Hindi
24,Boy,Modern,Aadhunik,Hindi
25,Girl,First power,Aadhya,Bengali
26,Girl,Beginning,Aadi,Hindu
27,Boy,Important,Aadi,Hindi
28,Boy,Important,Aadi,Bengali
29,Boy,The first god,Aadidev,Bengali
30,Boy,The first god,Aadidev,Hindi
31,Boy,Just,Aadil,Arabic
32,Boy,The first god,Aadinath,Bengali
33,Boy,The first god,Aadinath,Hindi
34,Girl,,Aadishri,Bengali
35,Girl,From the beginning,Aadita,Bengali
36,Boy,Son of aditi,Aaditey,Bengali
37,Boy,Son of aditi,Aaditey,Hindi
38,Girl,Godess laxmi,Aaditri,Bengali
39,Boy,Sun,Aaditya,Hindi
40,Boy,Sun,Aaditya,Bengali
41,Girl,Mountain,Aadrika,Bengali
42,Girl,Unique,Aadvika,Bengali
43,Girl,One of the names of goddess durga,Aadya,Bengali
44,Girl,"Healthy,",Aafiyah,Bengali
45,Girl,"Coming, arrival",Aagam,Hindi
46,Girl,"Born from fire, goddess lakshmi",Aaghnya,Bengali
47,Boy,Son of the fire,Aagney,Hindi
48,Girl,Permission,Aagya,Sikh
49,Boy,Obedient,Aagyakar,Sikh
50,Boy,One who maintains obedience,Aagyapal,Sikh
51,Girl,First rise of sun,Aahana,Bengali
52,Boy,Delight,Aahlaad,Hindi
53,Girl,One who is in a happy mood,Aahlaadita,Hindi
54,Boy,Joyous person,Aahlaadith,Hindi
55,Girl,Bubbling with delight,Aahladita,Bengali
56,Girl,Exist,Aahna,Bengali
57,Girl,Exist,Aahna,Hindi
58,Girl,Invitation,Aahwaana,Hindi
59,Boy,"Who has been invited, wanted",Aahwaanith,Hindi
60,Girl,Desire,Aakaanksha,Hindi
61,Boy,Shape,Aakaar,Hindi
62,Boy,Desire,Aakanksh,Hindi
63,Girl,"Desire, wish",Aakanksha,Bengali
64,Boy,"Form, shape",Aakar,Hindi
65,Boy,"Shape, to form, to materialize",Aakar,Sikh
66,Girl,Attractive,Aakarshaka,Hindi
67,Boy,Attraction,Aakarshan,Hindi
68,Girl,Attraction,Aakarshana,Hindi
69,Girl,Having attractive power,Aakarshika,Bengali
70,Boy,Sky,Aakash,Hindi
71,Girl,Sky colour,Aakashi,Bengali
72,Girl,Shape,Aakriti,Bengali
73,Girl,Shape,Aakriti,Hindi
74,Girl,Shape,Aakruthi,Bengali
75,Girl,The seventh day of luner month which which happens to fall on a sunday or monday,Aakshaya,Bengali
76,Boy,The whole world,Aalam,Hindi
77,Boy,"Musical prelude, conversation",Aalap,Hindi
78,Boy,"Musical prelude, conversation",Aalap,Hindi
79,Girl,Exalted; highest social standing,Aalia,Arabic
80,Girl,"Exalted, highest social standing",Aalia,Bengali
81,Girl,"High, tall, towering, excellent",Aaliya,Bengali
82,Girl,Ascender,Aaliyah,Biblical
83,Girl,Ascender,Aaliyah,Hebrew
